Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Timestamp,Flow_Duration,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Bwd_Pkt_Len_Max,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Std,FIN_Flag_Cnt,Pkt_Size_Avg,Init_Bwd_Win_Byts,Idle_Mean,Idle_Max,Idle_Min,Label
12708,25886,53190,200,9020,3760,124,0.0,2776.0,1388.0,22387096.77,16129.03,124.0,0.0,124.0,124.0,0.0,124.0,124.0,0.0,124.0,64,0.0,16129.03,0.0,0,2082.0,1869,124.0,124.0,124.0,1
60,25883,60357,110,7760,3649,46189,2528.0,0.0,0.0,54731.65,86.6,15396.33,21528.96,40225.0,1910.0,40225.0,4054.0,4054.0,0.0,4054.0,40,43.3,43.3,698.97,0,632.0,126,15396.33,40225.0,1910.0,1
12695,25883,9020,203,52739,2261,73,1388.0,1388.0,1388.0,38027397.26,27397.26,73.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,32,13698.63,13698.63,0.0,0,2082.0,1869,73.0,73.0,73.0,1
12690,25886,52717,200,9020,1963,149,0.0,0.0,0.0,0.0,20134.23,74.5,0.71,75.0,74.0,74.0,0.0,0.0,0.0,0.0,32,13422.82,6711.41,0.0,0,0.0,32679,74.5,75.0,74.0,1
12690,25886,52717,200,9020,1905,83,0.0,0.0,0.0,0.0,24096.39,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,32,12048.19,12048.19,0.0,0,0.0,32422,83.0,83.0,83.0,1
12446,25883,10000,203,10101,3506,77,886.0,1430.0,1430.0,30077922.08,25974.03,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,8,12987.01,12987.01,314.08,0,1873.0,-1,77.0,77.0,77.0,1
12839,25883,5665,205,23,959,31,0.0,68.0,68.0,2193548.39,64516.13,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,20,32258.06,32258.06,39.26,1,68.0,256,31.0,31.0,31.0,1
13671,25883,60121,233,8899,3256,24,96.0,32.0,32.0,5333333.33,166666.67,8.0,5.57,13.0,2.0,15.0,0.0,0.0,0.0,0.0,8,125000.0,41666.67,0.0,0,40.0,-1,8.0,13.0,2.0,1
47158,9,443,205,51875,2917,73,1448.0,1448.0,1448.0,39671232.88,27397.26,73.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,32,13698.63,13698.63,0.0,0,2172.0,252,73.0,73.0,73.0,1
12446,25883,10000,203,10101,3504,77,882.0,1430.0,1430.0,30025974.03,25974.03,77.0,0.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,8,12987.01,12987.01,316.39,0,1871.0,-1,77.0,77.0,77.0,1
63463,57908,443,205,32897,1032,155,0.0,0.0,0.0,0.0,19354.84,77.5,0.71,78.0,77.0,77.0,0.0,0.0,0.0,0.0,20,12903.23,6451.61,0.0,0,0.0,25896,77.5,78.0,77.0,1
12446,25883,10000,203,10101,3469,153,1808.0,1430.0,1430.0,21163398.69,19607.84,76.5,0.71,77.0,76.0,76.0,0.0,0.0,0.0,0.0,8,13071.9,6535.95,526.0,0,1556.0,-1,76.5,77.0,76.0,1
62696,25889,64783,233,9988,3213,19,128.0,32.0,32.0,8421052.63,263157.89,4.75,2.22,8.0,3.0,15.0,0.0,0.0,0.0,0.0,8,210526.32,52631.58,0.0,0,38.4,-1,4.75,8.0,3.0,1
63995,25889,10102,347,443,806,177,0.0,7109.0,1460.0,40163841.81,39548.02,29.5,25.56,77.0,13.0,107.0,177.0,44.25,27.78,77.0,100,11299.44,28248.59,664.39,0,1224.14,2048,29.5,77.0,13.0,1
13769,25883,60219,233,8899,3275,82,96.0,32.0,32.0,1560975.61,48780.49,27.33,43.02,77.0,2.0,80.0,0.0,0.0,0.0,0.0,8,36585.37,12195.12,0.0,0,40.0,-1,27.33,77.0,2.0,1
12695,25886,52739,200,9020,2343,114,0.0,2776.0,1388.0,24350877.19,17543.86,114.0,0.0,114.0,114.0,0.0,114.0,114.0,0.0,114.0,64,0.0,17543.86,0.0,0,2082.0,1869,114.0,114.0,114.0,1
12700,25886,52942,200,9020,685,121,0.0,1418.0,1388.0,11719008.26,16528.93,121.0,0.0,121.0,121.0,0.0,121.0,121.0,0.0,121.0,64,0.0,16528.93,784.04,0,1403.0,1869,121.0,121.0,121.0,1
46096,25883,10102,347,443,3107,55,0.0,2729.0,1460.0,49618181.82,54545.45,27.5,14.85,38.0,17.0,0.0,55.0,55.0,0.0,55.0,40,18181.82,36363.64,672.39,0,1332.67,2053,27.5,38.0,17.0,1
26100,37950,4980,200,554,3667,1282,0.0,0.0,0.0,0.0,1560.06,1282.0,0.0,1282.0,1282.0,0.0,1282.0,1282.0,0.0,1282.0,44,0.0,1560.06,0.0,0,0.0,14600,1282.0,1282.0,1282.0,1
12714,25883,9020,203,56196,866,73,1388.0,1388.0,1388.0,38027397.26,27397.26,73.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,32,13698.63,13698.63,0.0,0,2082.0,1869,73.0,73.0,73.0,1
13964,25883,64775,233,9988,3238,12,352.0,32.0,32.0,32000000.0,1000000.0,1.09,1.04,3.0,0.0,10.0,0.0,0.0,0.0,0.0,8,916666.67,83333.33,0.0,0,34.67,-1,2.25,3.0,2.0,1
12682,25883,9020,203,49784,2743,153,30.0,1388.0,1388.0,9267973.86,13071.9,153.0,0.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,32,6535.95,6535.95,784.04,0,1403.0,1869,153.0,153.0,153.0,0
46681,0,80,204,42848,1437,142,2920.0,1460.0,1460.0,30845070.42,21126.76,71.0,1.41,72.0,70.0,72.0,0.0,0.0,0.0,0.0,20,14084.51,7042.25,0.0,0,1946.67,57,71.0,72.0,70.0,1
12658,25886,10123,200,9020,1055,87,0.0,2776.0,1388.0,31908045.98,22988.51,87.0,0.0,87.0,87.0,0.0,87.0,87.0,0.0,87.0,64,0.0,22988.51,0.0,0,2082.0,1869,87.0,87.0,87.0,1
46784,25906,9600,204,36762,1950,122,331.0,614.0,614.0,7745901.64,16393.44,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0,0.0,20,8196.72,8196.72,163.39,0,779.5,47,122.0,122.0,122.0,1
12682,25883,9020,203,49784,2835,196,0.0,0.0,0.0,0.0,15306.12,98.0,33.94,122.0,74.0,0.0,196.0,98.0,33.94,122.0,96,0.0,15306.12,0.0,0,0.0,32683,98.0,122.0,74.0,0
12446,25883,10000,203,10101,3473,79,890.0,1430.0,1430.0,29367088.61,25316.46,79.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,8,12658.23,12658.23,311.77,0,1875.0,-1,79.0,79.0,79.0,1
12447,25883,56361,203,10101,3361,141,1430.0,1430.0,1430.0,20283687.94,14184.4,141.0,0.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0,8,7092.2,7092.2,0.0,0,2145.0,-1,141.0,141.0,141.0,1
12170,25885,0,200,0,4161,85,0.0,0.0,0.0,0.0,23529.41,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0,11764.71,11764.71,0.0,0,0.0,-1,85.0,85.0,85.0,1
